date,symbol,box_score,range_high_5d,range_low_5d,range_pct,range_position_pct,high_tests,low_tests,adr_util_today,vwap_dist_pct,sma_slope_pct,avg_daily_vol_5d,price,num_trades,total_pnl,best_trade_pnl,worst_trade_pnl,win_rate,avg_hold_minutes,exit_reasons,skip_reason
2026-02-02,KMI,6.47,30.57,29.16,4.84,31.9,3,2,0.711,0.3,2.28,12100065,29.61,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-02,HPE,6.25,22.08,21.26,3.86,43.9,3,4,0.508,0.37,-2.71,10359281,21.62,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-02,UBER,6.17,82.1,79.19,3.67,40.9,5,5,0.56,0.24,-0.35,13865747,80.38,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-02,WBD,5.77,28.31,27.35,3.51,42.7,3,3,0.762,0.18,-0.9,14047869,27.76,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-03,LI,7.24,17.55,16.46,6.62,18.3,2,3,0.743,0.3,-0.41,2971057,16.66,2,99.2,55.2,44.0,1.0,109.0,tiered_vwap_partial|time_stop,
2026-02-03,GM,5.92,86.63,83.1,4.25,85.3,4,2,0.708,0.49,0.88,4351983,86.11,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-03,KMI,5.76,30.57,29.45,3.8,51.8,4,3,0.669,0.56,2.27,12410778,30.03,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-04,ZM,8.12,95.15,87.19,9.13,5.7,2,2,0.556,0.59,1.68,2413585,87.64,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-04,OKTA,7.79,89.26,79.7,11.99,1.3,2,2,0.584,1.29,-0.64,1673869,79.82,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-04,LCID,6.7,11.485,10.11,13.6,23.4,2,2,0.444,1.43,-1.07,5719495,10.4318,2,33.46,36.96,-3.5,0.5,239.0,tiered_vwap_partial|time_stop,
2026-02-04,OXY,6.49,46.95,43.31,8.4,72.3,2,2,0.779,0.02,2.17,9763461,45.94,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-04,KO,6.3,78.11,73.14,6.8,96.0,2,2,0.715,0.36,2.33,14596908,77.91,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-04,LI,5.77,17.42,16.46,5.83,64.6,2,3,0.752,0.97,-0.3,3218221,17.08,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-05,WBD,7.43,27.87,26.61,4.74,27.8,3,2,0.333,0.28,-1.21,15983075,26.96,1,-5.22,-5.22,-5.22,0.0,336.0,time_stop,
2026-02-05,KEY,6.31,22.91,21.35,7.31,80.8,2,2,0.717,0.34,1.26,12306960,22.61,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-05,KMI,6.22,30.56,29.45,3.77,46.8,4,4,0.576,0.18,2.46,11542904,29.97,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-05,KVUE,6.22,18.22,17.13,6.36,68.8,2,3,0.793,0.37,1.04,56040132,17.88,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-05,PCG,6.01,16.32,15.03,8.58,79.1,2,3,0.793,0.65,-0.57,17962948,16.05,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-05,ZM,5.97,94.29,87.19,8.14,61.4,4,2,0.745,0.72,1.45,2635626,91.55,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-06,LYFT,7.93,17.47,15.68,11.42,12.8,2,2,0.445,0.6,-4.14,12384827,15.91,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-06,WBD,7.25,27.87,26.61,4.74,27.0,2,3,0.481,0.19,-1.16,19142865,26.95,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-06,T,7.06,27.52,26.11,5.4,84.4,3,2,0.391,0.21,2.72,38766661,27.3,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-06,KVUE,6.99,18.22,17.24,5.68,90.8,3,2,0.397,0.29,1.32,62547454,18.13,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-06,PCG,6.85,16.48,15.03,9.65,97.9,2,2,0.431,0.39,-0.14,16431735,16.45,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-06,CMCSA,6.67,31.43,29.4,6.9,87.7,2,2,0.524,0.37,2.23,24446569,31.18,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-06,KO,6.57,79.2,74.4,6.45,94.6,2,2,0.582,0.35,3.18,14234435,78.94,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-06,KMI,6.19,30.59,29.45,3.87,94.7,4,4,0.565,0.3,2.49,10651819,30.53,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-06,ZM,5.95,94.29,87.19,8.14,25.8,3,2,0.752,1.44,1.49,2723444,89.02,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-09,AAL,6.75,15.33,13.81,11.01,83.6,2,2,0.455,0.46,-2.14,42296249,15.08,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-09,XP,6.4,20.59,18.49,11.36,58.6,2,3,0.521,0.75,3.3,4243506,19.72,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-09,WBD,6.31,27.62,26.61,3.8,60.4,3,3,0.559,0.12,-1.28,18659230,27.22,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-09,GME,6.19,25.5,23.84,6.96,36.1,3,2,0.797,0.41,4.16,7418515,24.44,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-09,JD,6.11,28.3,27.16,4.2,71.9,3,2,0.574,0.56,-1.43,8021437,27.98,0,0.0,0.0,0.0,0.0,0.0,,
