symbol,date,wave_id,score,entry_time_et,entry_price,target,stop,exit_time_et,exit_price,exit_reason,pnl_per_share,shares,pnl,risk_per_share,duration_minutes,slot
SXTP,2026-01-22,11,7,19:19:00,4.93,0.0,4.8977,19:25:00,4.8977,stop_hit,-0.0323,10141,-327.3,0.0323,6.0,0
SXTP,2026-01-22,13,7,19:42:00,4.89,0.0,4.8678,19:44:00,4.9289,trailing_stop,0.0389,10224,397.71,0.0222,2.0,0
YDDL,2026-01-23,25,10,09:41:00,6.98,0.0,6.6932,09:51:00,7.1566,trailing_stop,0.1766,6974,115.86,0.2868,10.0,0
YDDL,2026-01-23,32,8,10:35:00,7.153,0.0,7.1321,10:36:00,7.2496,trailing_stop,0.0966,6990,674.97,0.0209,1.0,0
YDDL,2026-01-23,43,7,11:42:00,7.29,0.0,7.2119,11:51:00,7.2119,stop_hit,-0.0781,6858,-535.44,0.0781,9.0,0
RVYL,2026-01-23,11,7,17:44:00,5.92,0.0,5.9052,17:45:00,5.9326,trailing_stop,0.0126,8445,106.41,0.0148,1.0,0
GXAI,2026-01-26,9,8,06:02:00,1.16,0.0,1.1371,06:14:00,1.1786,trailing_stop,0.0186,43103,800.64,0.0229,12.0,0
ARAI,2026-01-26,3,7,06:54:00,2.88,0.0,2.8628,06:57:00,2.8914,trailing_stop,0.0114,17361,198.13,0.0172,3.0,0
STAI,2026-01-26,3,7,09:01:00,2.08,0.0,2.0748,09:02:00,2.1218,trailing_stop,0.0418,24038,1004.79,0.01,1.0,0
ARAI,2026-01-26,25,7,18:16:00,2.21,0.0,2.2047,18:17:00,2.2273,trailing_stop,0.0173,22624,392.24,0.01,1.0,0
BATL,2026-01-26,11,7,19:49:00,3.09,0.0,3.0623,19:50:00,3.0623,stop_hit,-0.0277,16181,-447.81,0.0277,1.0,0
SWVL,2026-01-27,6,7,08:19:00,2.07,0.0,2.015,08:21:00,2.015,stop_hit,-0.055,18165,-999.98,0.055,2.0,0
SWVL,2026-01-27,9,8,08:30:00,2.02,0.0,2.005,08:32:00,2.7025,trailing_stop,0.6825,24752,16892.93,0.015,2.0,0
SWVL,2026-01-27,24,9,11:07:00,2.07,0.0,1.995,11:10:00,2.1117,trailing_stop,0.0417,23755,165.16,0.075,3.0,0
CYN,2026-01-27,32,7,15:11:00,2.1,0.0,2.0449,15:12:00,2.0449,stop_hit,-0.0551,18140,-999.97,0.0551,1.0,0
HIND,2026-01-27,24,8,17:07:00,2.97,0.0,2.9426,17:10:00,3.0563,trailing_stop,0.0863,16835,1453.07,0.0274,3.0,0
HIND,2026-01-27,30,10,18:00:00,2.97,0.0,2.9526,18:01:00,2.9526,stop_hit,-0.0174,16835,-292.93,0.0174,1.0,0
BNAI,2026-01-28,9,7,05:32:00,54.75,0.0,54.6231,05:33:00,54.6231,stop_hit,-0.1269,913,-115.86,0.1269,1.0,0
BNAI,2026-01-28,10,8,05:49:00,54.83,0.0,54.4535,06:04:00,54.4535,stop_hit,-0.3765,911,-342.97,0.3765,15.0,0
BBGI,2026-01-28,5,8,07:44:00,6.2,0.0,5.8952,07:48:00,6.5776,trailing_stop,0.3776,6562,1460.78,0.3048,4.0,0
AIMD,2026-01-28,4,8,08:01:00,2.19,0.0,2.1347,08:02:00,2.7326,trailing_stop,0.5426,22852,12447.93,0.0553,1.0,0
BBGI,2026-01-28,21,7,12:39:00,6.02,0.0,5.8354,13:40:00,6.1277,trailing_stop,0.1077,8291,806.59,0.1846,61.0,0
MRNO,2026-01-28,6,7,12:49:00,2.1,0.0,2.0449,12:52:00,2.0449,stop_hit,-0.0551,18140,-999.97,0.0551,3.0,1
BBGI,2026-01-28,30,7,16:30:00,5.32,0.0,5.2369,16:38:00,5.2369,stop_hit,-0.0831,9398,-781.21,0.0831,8.0,0
BBGI,2026-01-28,32,10,16:46:00,5.3,0.0,5.2069,16:48:00,5.3635,trailing_stop,0.0635,9433,598.76,0.093,2.0,0
BBGI,2026-01-28,38,7,17:26:00,5.43,0.0,5.2369,18:36:00,5.2369,stop_hit,-0.1931,5177,-999.81,0.1931,70.0,0
AIMD,2026-01-28,50,9,19:30:00,2.14,0.0,2.1247,19:34:00,2.1247,stop_hit,-0.0153,23364,-358.05,0.0153,4.0,0
DZZ,2026-01-29,2,7,11:05:00,4.27,0.0,4.2593,11:06:00,4.2593,stop_hit,-0.0107,11709,-124.99,0.0107,1.0,0
GCTK,2026-01-29,5,7,11:25:00,2.4474,0.0,2.434,11:26:00,2.4633,trailing_stop,0.0159,20429,324.82,0.0134,1.0,0
DZZ,2026-01-30,10,7,05:36:00,4.16,0.0,4.0199,06:33:00,4.28,trailing_stop,0.12,11816,575.62,0.1401,57.0,0
