date,time_et_or_event,equity
session_open,float,30000.0
2026-04-28,12:34:00,152916.81
2026-04-28,13:22:00,152894.18
2026-04-28,14:38:00,153084.9
2026-04-28,15:38:00,153201.82
2026-04-28,15:57:00,152785.17
2026-04-28,15:59:00,152314.88
2026-04-28,18:00:00,154090.58
2026-04-28,18:25:00,153649.12
2026-04-28,18:31:00,153392.19
2026-04-28,18:32:00,153056.64
2026-04-28,18:51:00,152931.07
2026-04-28,19:39:00,152812.01
2026-04-29,04:54:00,152100.38
2026-04-29,05:28:00,152453.45
2026-04-29,05:37:00,153751.29
2026-04-29,06:07:00,154196.3
2026-04-29,07:00:00,157630.21
2026-04-29,07:16:00,158493.63
2026-04-29,07:28:00,159401.59
2026-04-29,08:15:00,160018.19
2026-04-29,08:26:00,160951.22
2026-04-29,09:16:00,161698.9
2026-04-29,11:08:00,160948.92
2026-04-29,11:52:00,160617.33
2026-04-29,12:44:00,161729.26
2026-04-29,13:06:00,162057.06
2026-04-29,13:10:00,162797.39
2026-04-29,13:16:00,163117.2
2026-04-29,13:27:00,163593.09
2026-04-29,13:46:00,163897.48
2026-04-29,14:12:00,164005.4
2026-04-29,14:34:00,164174.29
2026-04-29,14:43:00,163786.03
2026-04-29,14:52:00,163037.13
2026-04-29,15:26:00,163365.5
2026-04-29,15:29:00,163037.61
2026-04-29,16:03:00,164375.73
2026-04-29,16:48:00,164593.81
2026-04-29,16:53:00,164948.88
2026-04-29,18:06:00,165670.54
2026-04-29,18:49:00,166124.48
2026-04-29,18:52:00,166405.83
2026-04-29,19:25:00,166573.5
2026-04-29,19:39:00,166912.34
2026-04-29,19:51:00,167567.09
2026-04-29,19:58:00,167052.39
2026-04-30,04:00:00,166420.11
2026-04-30,05:07:00,167496.75
2026-04-30,06:01:00,167624.92
2026-04-30,06:27:00,169001.1
2026-04-30,08:30:00,168633.58
2026-04-30,08:57:00,168144.91
2026-04-30,12:51:00,168720.48
2026-04-30,14:25:00,169126.7
2026-04-30,16:25:00,170204.83
2026-04-30,17:37:00,169454.89
2026-04-30,17:50:00,169556.19
2026-04-30,17:51:00,169744.52
2026-04-30,18:54:00,169505.04
2026-04-30,19:02:00,169237.67
2026-04-30,19:40:00,170617.45
2026-05-01,04:54:00,169867.52
2026-05-01,05:45:00,169501.41
2026-05-01,05:45:00,169814.13
2026-05-01,05:47:00,170840.68
2026-05-01,08:56:00,170219.43
2026-05-01,09:04:00,170449.03
2026-05-01,09:22:00,170449.03
2026-05-01,09:36:00,170089.88
2026-05-01,11:52:00,169661.55
2026-05-01,12:31:00,169917.11
2026-05-01,13:23:00,169235.97
2026-05-01,13:25:00,169482.11
2026-05-01,14:41:00,169203.49
2026-05-01,15:05:00,168830.95
2026-05-01,15:22:00,169237.2
2026-05-01,15:36:00,168495.76
2026-05-01,15:37:00,168897.59
2026-05-01,16:22:00,168147.93
2026-05-01,16:39:00,168592.0
2026-05-01,16:43:00,168910.58
2026-05-01,16:54:00,168417.95
2026-05-01,17:37:00,167865.51
2026-05-01,18:03:00,168133.72
2026-05-01,18:29:00,167383.78
2026-05-01,19:02:00,167001.38
2026-05-01,19:22:00,166251.44
2026-05-01,19:46:00,165501.46
2026-05-04,05:21:00,165101.56
2026-05-04,06:56:00,165571.4
2026-05-04,07:13:00,165285.0
2026-05-04,07:23:00,165796.46
2026-05-04,08:34:00,165671.47
2026-05-04,09:05:00,164921.52
2026-05-04,09:32:00,166580.49
2026-05-04,11:11:00,167312.24
2026-05-04,12:17:00,167648.22
2026-05-04,12:26:00,168114.18
2026-05-04,12:41:00,167364.24
2026-05-04,13:16:00,166614.26
2026-05-04,14:14:00,166947.05
2026-05-04,14:17:00,166947.05
