fill_ts,symbol,session_date,winning_strategy,blocked_strategy,blocked_direction,blocked_intended_entry_price
2020-01-16 11:00:00,ORCL,2020-01-16,VWAP-Mean-Reversion,PDH-PDL-Fade,short,
2020-01-16 11:03:00,ORCL,2020-01-16,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-16 11:03:00,QCOM,2020-01-16,Round-Number,PDH-PDL-Breakout,long,
2020-01-16 11:07:00,AAL,2020-01-16,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-16 11:11:00,ORCL,2020-01-16,VWAP-Mean-Reversion,PDH-PDL-Breakout,long,
2020-01-16 11:12:00,QCOM,2020-01-16,Round-Number,PDH-PDL-Fade,short,
2020-01-16 11:24:00,WFC,2020-01-16,ORB-5min,PDH-PDL-Breakout,long,
2020-01-16 11:33:00,ROKU,2020-01-16,PDH-PDL-Breakout,Round-Number,short,
2020-01-16 13:50:00,AAL,2020-01-16,PDH-PDL-Fade,VWAP-Mean-Reversion,short,
2020-01-16 15:51:00,INTC,2020-01-16,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-17 09:35:00,INTC,2020-01-17,PDH-PDL-Fade,Round-Number,short,
2020-01-17 09:55:00,DIS,2020-01-17,PDH-PDL-Fade,Round-Number,short,
2020-01-17 09:59:00,AAPL,2020-01-17,VWAP-Mean-Reversion,PDH-PDL-Breakout,long,
2020-01-17 10:00:00,ADBE,2020-01-17,VWAP-Mean-Reversion,PDH-PDL-Breakout,long,
2020-01-17 10:00:00,AMD,2020-01-17,PDH-PDL-Fade,Round-Number,long,
2020-01-17 10:01:00,INTC,2020-01-17,PDH-PDL-Fade,ORB-5min,short,
2020-01-17 10:01:00,AAL,2020-01-17,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-17 10:05:00,AVGO,2020-01-17,PDH-PDL-Fade,ORB-5min,short,
2020-01-17 10:18:00,QCOM,2020-01-17,ORB-5min,PDH-PDL-Breakout,long,
2020-01-17 10:20:00,MU,2020-01-17,PDH-PDL-Fade,ORB-5min,short,
2020-01-17 10:22:00,DAL,2020-01-17,VWAP-Mean-Reversion,PDH-PDL-Fade,short,
2020-01-17 10:25:00,QCOM,2020-01-17,ORB-5min,Round-Number,long,
2020-01-17 10:32:00,MSFT,2020-01-17,ORB-5min,PDH-PDL-Breakout,long,
2020-01-17 10:34:00,ORCL,2020-01-17,PDH-PDL-Fade,Round-Number,long,
2020-01-17 11:14:00,AAPL,2020-01-17,VWAP-Mean-Reversion,ORB-5min,short,
2020-01-17 11:14:00,AAPL,2020-01-17,VWAP-Mean-Reversion,PDH-PDL-Fade,short,
2020-01-17 11:20:00,ROKU,2020-01-17,ORB-5min,PDH-PDL-Fade,long,
2020-01-17 14:15:00,BAC,2020-01-17,ORB-5min,PDH-PDL-Fade,long,
2020-01-17 15:10:00,DAL,2020-01-17,VWAP-Mean-Reversion,ORB-5min,short,
2020-01-17 15:10:00,DIS,2020-01-17,PDH-PDL-Fade,PDH-PDL-Breakout,short,
2020-01-17 15:54:00,AVGO,2020-01-17,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-21 11:07:00,DAL,2020-01-21,ORB-5min,Round-Number,long,
2020-01-21 11:16:00,SNAP,2020-01-21,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-21 11:17:00,MSFT,2020-01-21,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-21 11:53:00,AAL,2020-01-21,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-21 12:20:00,CSCO,2020-01-21,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-21 14:00:00,AAPL,2020-01-21,VWAP-Mean-Reversion,ORB-5min,short,
2020-01-22 09:39:00,F,2020-01-22,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-22 09:55:00,WFC,2020-01-22,ORB-5min,PDH-PDL-Fade,long,
2020-01-22 09:56:00,NVDA,2020-01-22,ORB-5min,PDH-PDL-Breakout,long,
2020-01-22 09:58:00,MU,2020-01-22,Round-Number,PDH-PDL-Breakout,long,
2020-01-22 09:58:00,WFC,2020-01-22,ORB-5min,PDH-PDL-Breakout,short,
2020-01-22 10:00:00,INTC,2020-01-22,ORB-5min,PDH-PDL-Breakout,long,
2020-01-22 10:02:00,F,2020-01-22,PDH-PDL-Fade,VWAP-Mean-Reversion,short,
2020-01-22 10:26:00,ADBE,2020-01-22,PDH-PDL-Breakout,VWAP-Mean-Reversion,short,
2020-01-22 10:27:00,ADBE,2020-01-22,PDH-PDL-Breakout,ORB-5min,long,
2020-01-22 10:35:00,AVGO,2020-01-22,ORB-5min,PDH-PDL-Breakout,long,
2020-01-22 10:45:00,MU,2020-01-22,Round-Number,ORB-5min,long,
2020-01-22 10:45:00,AMD,2020-01-22,ORB-5min,PDH-PDL-Breakout,long,
2020-01-22 10:47:00,AMD,2020-01-22,ORB-5min,PDH-PDL-Fade,short,
2020-01-22 11:10:00,CSCO,2020-01-22,PDH-PDL-Breakout,ORB-5min,long,
2020-01-22 11:12:00,ADBE,2020-01-22,PDH-PDL-Breakout,PDH-PDL-Fade,short,
2020-01-22 11:14:00,MSFT,2020-01-22,VWAP-Mean-Reversion,ORB-5min,short,
2020-01-22 11:14:00,DIS,2020-01-22,PDH-PDL-Fade,ORB-5min,short,
2020-01-22 11:28:00,MSFT,2020-01-22,VWAP-Mean-Reversion,PDH-PDL-Fade,long,
2020-01-22 11:50:00,MSFT,2020-01-22,VWAP-Mean-Reversion,PDH-PDL-Breakout,short,
2020-01-22 12:28:00,QCOM,2020-01-22,ORB-5min,PDH-PDL-Fade,long,
2020-01-22 12:50:00,QCOM,2020-01-22,ORB-5min,PDH-PDL-Breakout,short,
2020-01-22 14:49:00,DIS,2020-01-22,PDH-PDL-Fade,VWAP-Mean-Reversion,short,
2020-01-22 15:16:00,NKE,2020-01-22,ORB-5min,PDH-PDL-Fade,short,
2020-01-22 15:21:00,TSLA,2020-01-22,PDH-PDL-Breakout,ORB-5min,short,
2020-01-23 09:34:00,SNAP,2020-01-23,PDH-PDL-Breakout,PDH-PDL-Fade,long,
2020-01-23 09:36:00,DIS,2020-01-23,PDH-PDL-Breakout,ORB-5min,short,
2020-01-23 09:36:00,DAL,2020-01-23,PDH-PDL-Breakout,ORB-5min,short,
2020-01-23 10:06:00,BAC,2020-01-23,PDH-PDL-Breakout,ORB-5min,short,
2020-01-23 10:25:00,ORCL,2020-01-23,ORB-5min,PDH-PDL-Fade,long,
2020-01-23 10:34:00,MU,2020-01-23,PDH-PDL-Fade,Round-Number,short,
2020-01-23 11:40:00,ROKU,2020-01-23,PDH-PDL-Fade,ORB-5min,long,
2020-01-23 12:21:00,ORCL,2020-01-23,ORB-5min,Round-Number,short,
2020-01-23 12:26:00,ORCL,2020-01-23,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-23 13:25:00,WFC,2020-01-23,PDH-PDL-Breakout,PDH-PDL-Fade,long,
2020-01-23 13:26:00,WFC,2020-01-23,PDH-PDL-Breakout,VWAP-Mean-Reversion,short,
2020-01-23 13:54:00,F,2020-01-23,PDH-PDL-Breakout,VWAP-Mean-Reversion,short,
2020-01-23 13:57:00,AAPL,2020-01-23,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-23 14:15:00,AMD,2020-01-23,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-24 09:42:00,WFC,2020-01-24,ORB-5min,PDH-PDL-Breakout,short,
2020-01-24 09:48:00,ORCL,2020-01-24,PDH-PDL-Breakout,Round-Number,long,
2020-01-24 09:51:00,CRM,2020-01-24,ORB-5min,PDH-PDL-Breakout,long,
2020-01-24 09:53:00,AMD,2020-01-24,ORB-5min,PDH-PDL-Breakout,long,
2020-01-24 10:08:00,QCOM,2020-01-24,PDH-PDL-Fade,PDH-PDL-Breakout,short,
2020-01-24 10:20:00,MU,2020-01-24,ORB-5min,PDH-PDL-Breakout,short,
2020-01-24 10:21:00,CSCO,2020-01-24,PDH-PDL-Breakout,PDH-PDL-Fade,short,
2020-01-24 10:23:00,BAC,2020-01-24,ORB-5min,PDH-PDL-Fade,long,
2020-01-24 10:26:00,MSFT,2020-01-24,VWAP-Mean-Reversion,PDH-PDL-Breakout,long,
2020-01-24 10:26:00,BAC,2020-01-24,ORB-5min,PDH-PDL-Breakout,short,
2020-01-24 10:56:00,INTC,2020-01-24,ORB-5min,PDH-PDL-Breakout,long,
2020-01-24 11:10:00,MU,2020-01-24,ORB-5min,PDH-PDL-Fade,long,
2020-01-24 11:41:00,MSFT,2020-01-24,VWAP-Mean-Reversion,PDH-PDL-Fade,short,
2020-01-24 11:42:00,MSFT,2020-01-24,VWAP-Mean-Reversion,ORB-5min,short,
