strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,secondary_fill
Round-Number,NKE,2022-05-10,short,2022-05-10T10:44:00,2022-05-10T13:28:00,109.73,110.1,110.1,105.0,320,1000.0,-118.39999999999691,-0.11839999999999691,stop,True
Round-Number,AMD,2022-05-10,short,2022-05-10T15:11:00,2022-05-10T15:12:00,89.85,90.1,90.1,85.0,2624,1000.0,-656.0,-0.656,stop,True
Round-Number,DIS,2022-05-11,short,2022-05-11T10:29:00,2022-05-11T14:10:00,109.81,105.0,110.1,105.0,281,1000.0,1351.6100000000006,1.3516100000000006,target,False
Round-Number,QCOM,2022-05-11,long,2022-05-11T12:22:00,2022-05-11T12:28:00,135.06,134.9,134.9,140.0,121,1000.0,-19.359999999999587,-0.019359999999999586,stop,True
Round-Number,AAPL,2022-05-13,short,2022-05-13T09:58:00,2022-05-13T10:00:00,144.94,145.1,145.1,140.0,6250,1000.0,-999.9999999999786,-0.9999999999999786,stop,False
Round-Number,MU,2022-05-13,long,2022-05-13T10:12:00,2022-05-13T15:55:00,70.22,71.82,69.9,75.0,638,1000.0,1020.7999999999963,1.0207999999999964,session_close,True
Round-Number,AAPL,2022-05-16,long,2022-05-16T09:37:00,2022-05-16T09:45:00,145.11,144.9,144.9,150.0,4144,1000.0,-870.240000000033,-0.870240000000033,stop,False
Round-Number,ORCL,2022-05-16,long,2022-05-16T09:47:00,2022-05-16T09:57:00,70.1,69.9,69.9,75.0,114,1000.0,-22.799999999998704,-0.022799999999998703,stop,False
Round-Number,ROKU,2022-05-16,long,2022-05-16T12:41:00,2022-05-16T12:42:00,95.03,94.9,94.9,100.0,119,1000.0,-15.469999999999459,-0.015469999999999458,stop,False
Round-Number,ROKU,2022-05-17,long,2022-05-17T12:12:00,2022-05-17T12:20:00,95.1,94.9,94.9,100.0,85,1000.0,-16.999999999999034,-0.016999999999999033,stop,True
Round-Number,NKE,2022-05-17,long,2022-05-17T14:44:00,2022-05-17T15:55:00,115.07,115.73,114.9,120.0,62,1000.0,40.92000000000067,0.04092000000000067,session_close,True
Round-Number,CSCO,2022-05-18,long,2022-05-18T09:35:00,2022-05-18T09:59:00,50.22,49.9,49.9,55.0,364,1000.0,-116.4800000000001,-0.1164800000000001,stop,False
Round-Number,AMD,2022-05-18,long,2022-05-18T11:26:00,2022-05-18T11:28:00,100.05,99.9,99.9,105.0,1409,1000.0,-211.34999999998797,-0.21134999999998796,stop,True
